,Body,Accesories,Face,Eyewear,Eyes,Mouth,Head,Role,Fur,Special,Rarity score,Token Id
194,None,None,Silver Earrings,None,Bullish,Dragon Breath,Pink Snapback Hat,Double Agent,Built (Dark),None,40.8271341914757,194
195,Ruby Dress,None,Blood Splatter,Round Reading Glasses,Jaundice,Leaf,Top Hat,Field Agent,Classic,None,63.50427201198862,195
196,White Dress,None,None,None,Bullish,Smug,Cream Borsalino,Generalist,Brown,None,29.419707677338497,196
197,Pink Dress,None,Blush,None,Cheeky,Smoker's Pipe,None,Generalist,Tatted (Dark),None,28.53911351880365,197
198,None,None,None,None,Bitcoins,Dragon Breath,Pink Snapback Hat,Black Ops,Shadow,None,30.60416232621856,198
199,None,None,None,Hard Thunder Glasses,Happy,Leaf,None,Generalist,Brown,None,12.456238406441036,199
200,None,None,None,None,Bullish,Angry,Bandage,Double Agent,Tatted (Brown),None,30.927669520586555,200
201,None,Silver Chain,None,Black Aviator Sunglasses,Angry,Thug Life Joint,Laurel,Field Agent,Dark,None,67.55045548996014,201
202,Floral Kimono,None,Blush,Hard Thunder Glasses,Soulless,Angry,None,Generalist,Dark,None,34.56800253421534,202
203,None,None,None,Thug Life Glasses,Happy,Golden Grills,None,Operator,Dark,None,28.525494329876583,203
204,Black Puffer Jacket,Moon Necklace,Disposable Face Mask,Black Aviator Sunglasses,Smug,Smoker's Pipe,Blue Snapback Hat,Engineer,Brown,None,90.74272741599405,204
205,None,None,Blush,None,Jaundice,Smug,None,Generalist,Classic,None,11.919127207245923,205
206,Black/White Tracksuit,Katana,Silver Earrings,Hard Thunder Glasses,Bored,Dragon Breath,Flower Pink,Operator,Classic,None,88.86460351567274,206
207,Ruby Dress,None,Scars,None,Cheeky,Golden Grills,None,Engineer,Tatted (Classic),None,42.46229026386573,207
208,None,None,None,Black Aviator Sunglasses,Intoxicated,Happy,Black Snapback Hat,Field Agent,Classic,None,35.20187329867493,208
209,Pink Ball Gown,None,Diamond Stud Earrings,Hard Thunder Glasses,Soulless,Bubble Gum,Halo,Operator,Robot,None,68.11164300484144,209
210,None,None,Silver Ear Piercing,Round Reading Glasses,Jaundice,Dragon Breath,King's Crown,Operator,Classic,None,50.8597622134485,210
211,None,ID Badge,None,Thug Life Glasses,Cheeky,Dragon Breath,None,Generalist,Purple,None,48.39699305001711,211
212,Red/White Tracksuit,None,None,None,Bullish,Smoker's Pipe,None,Generalist,Tatted (Sandy),None,22.849965510249497,212
213,Red Hoodie,None,None,Black Aviator Sunglasses,Jaundice,Cheeky,None,Generalist,Robot,None,34.60147033716622,213
