,Antenna,Hats,Faces,Heads,Body,Backgrounds,Rarity score,Token Id
2748,Doughnuts,Artic bobble brown hair,Woooaaah,Yellow,Trash hoodie skateboard,Honey melon,17.767016785830776,2748
2749,Goo,Paper plane,Hmm,Qurikie bot MK 3,Pink skull tee,Turquoise,5.477544496815112,2749
2750,Pierced,Lightning beanie,Amazed ,Pink,Blue camo tee with chain ,Simply pink,22.121016434540593,2750
2751,Lightning bolts,Squiddie pink,What ,Light purple,Wizard robe,Pinkish,11.376147830937201,2751
2752,Gold ring,Yellow cap ,Dead plain,Pink,Wizard robe,Misty green,45.64645690705741,2752
2753,Graff bubble,Crew cut brown,Reptile,Qurikie bot MK 3,Green backpack,Honey melon,20.57628625814862,2753
2754,Gold ring,Head band ,Nearly focused,Another green,Orange puffa,Turquoise,5.898800053476817,2754
2755,Bubbles,Rabbit ears,Happy lashes,Scaley,Orange puffa,Neutral,38.0621148348365,2755
2756,Graff bubble,Pink beanie blonde hair ,Long lashes,Yellow,Pink camo puffa,Neutral,26.47498800008574,2756
2757,Blue 2,Halo,Happy lashes,Greeeen,Red scarf jacket,Turquoise,15.519913071229682,2757
2758,Feather,Party hat,Misery ,Quirkiebot MK2,Tan backpack,Pinkish,20.435614898661736,2758
2759,White 27,Sideway cap blue green,Bubblegum,Peach,Arrows,Honey melon,20.154651418759833,2759
2760,Pink 1,Studs,Warpaint 1,Blue,Big purple hoodie and chain,Simply pink,14.255963744715105,2760
2761,Graff bubble,Light bulb,3 eyes happy,Peach,Yellow hoodie,Blurple,22.050849332325523,2761
2762,Blue 2,Sheriff,Buttons,Blue,Orange puffa,Dust,20.013937883270057,2762
2763,Lightning bolts,Purple curls,Mk1,Green pink paint splat,Quirkbot mk2,Misty turquoise,49.78967424597279,2763
2764,Red 2,Green mohawk,Spooky relaxed,Purple,Blue tee with chain,Blurple,25.983326500420368,2764
2765,Rainbow ring,Donut head,Buttons,Blue,Purple puffa,Pinkish,17.34588765622506,2765
2766,Goo,Pencil,Mk1,Light purple,Fur coat,Pale peach,15.800876542946233,2766
2767,Fire,Pencil,Hmm,Quirk green,Ancient quirkie robes,Blurple,18.68011647374148,2767
2768,Blue 2,Blue pink long,4 eyes cheerfull,Quirkiebot MK2,Red bandana adventurer ,Misty pink,34.691522465743944,2768
2769,Orange 1,Blue graffiti bubbles,Fired up ,Qurikie bot MK 3,Yellow rain coat,Pale peach,14.677219323204419,2769
2770,Fire,Thunder,3 eyes happy,Pinkish,Explorer,Neutral,23.66597136628873,2770
2771,Purple 2,Pink beanie,1 eye,Pinkish,Red bandana adventurer ,The blues,6.319999400153986,2771
2772,Double green,Horns,Long lashes,Quirk green,Artic parka,Blurple,14.536786749547339,2772
2773,Red 2,Sideway cap blue green,Quirkie tongue,Qurikie bot MK 3,Yellow scarf jacket,Pinkish,12.7108262004825,2773
2774,Orange 1,Party hat,VR wave,Another green,Green backpack,The blues,8.778349028489869,2774
2775,Fire,Aviator ,Smile,Orange,Bones tee,Mist in the artic,22.542061284249584,2775
2776,Pierced,Light bulb,Warpaint 3,Blue pink paint splats,Casual jacket ,Turquoise,28.441591823134132,2776
