,Eyes,Mouth,Hat,Clothes,Skin,Background,Rarity score,Token Id
208,Tired Cat,Thinkin,Umbrella,Flame Shirt,White Pebble,Pink,39.41243436120019,208
209,Triangle,Dog Tongue,Pyramid Head,Itchy Ass Sweater,Yellow,Deep Purple,48.91069192633306,209
210,Dazy,Sly Smile,Backward Cap,Watermelon Shirt,Yellow,Green,28.426094411156182,210
211,Dazy,Buck Teeth,Kitty Ears,Skull Shirt,Pink,Sky,45.50234018524218,211
212,Cave Duck,Sly Smile,Beanie,Purple Cape,Butter Milk,Paint Splatter,28.16660229260962,212
213,Curious,Sly Smile,Pants,Overalls With King Frog,2 Toned,Pink,46.17707505701989,213
214,Super Happy,Cheeky,Gold Fish,White Tee,Grey,Yellow Orange,47.09400142114713,214
215,Standard,Wavey,Hair,Overalls,Blue,Candy,27.266971369398323,215
216,Curious,Woo,Beanie,Skull Shirt,Dark Green,Ash,30.104263978311526,216
217,Curious,Thinkin,Spinner,Hawaiian Shirt,Butter Milk,Tie Dye Night,31.851743323254933,217
218,Shaun Shadez,Eff,Biker Hat,Itchy Ass Sweater,Light Green,Paint Splatter,39.55076498873373,218
219,Doh,Basic Smile,Hair,White Tee Ripped,Light Green,Grey,22.3880005063036,219
220,Cave Duck,Thinkin,Hair,Itchy Ass Sweater,Butter Milk,Blue,17.508970816241007,220
221,Cyclops,WhaWha,Pyramid Head,Zebra Tee,Lava,Green,58.63378845217091,221
222,Dazy,Tongue Out,Pot Head,Sweater Weather,2 Toned,Boardwalk,50.761848737894766,222
223,Hippy,Wavey,Gold Fish,White Tee Ripped,Yellow,Green,26.990119797302647,223
224,Tired Cat,Wonky,Mohawk,Turtle Neck,Light Green,Tie Dye,29.360349081414572,224
225,Hippy,Thinkin,Sweat Band,Bubble Logo Tee,Butter Milk,Blue,28.30499001548226,225
226,Tripped,Tongue Out,Backward Cap,Hawaiian Shirt,Cheeze,Paint Splatter,41.609563939551066,226
227,Focus,Bubble Gum,Pyramid Head,Pancho,White Pebble,Tie Dye Night,44.84488691095547,227
