,Theme,Asset,Rarity,Rarity score,Token Id
2580,Cyberpunk,Crane,None,3.1254109442756666,2580
2581,Fantasy,Yggdrasil,None,2.022313754702422,2581
2582,Eastern Gem,Bridge,None,2.089167400469057,2582
2583,Underworld,BloodMoon,None,0.0,2583
2584,Eastern Gem,Rainbow,None,2.2395881031578204,2584
2585,Eastern Gem,Bridge,None,2.089167400469057,2585
2586,Eastern Gem,Bridge,None,2.089167400469057,2586
2587,Underworld,BooGhost2,None,6.802352429126818,2587
2588,Underworld,BooGhost2,None,6.802352429126818,2588
2589,Cyberpunk,Crane,None,3.1254109442756666,2589
2590,Fantasy,Yggdrasil,None,2.022313754702422,2590
2591,Eastern Gem,Rainbow,None,2.2395881031578204,2591
2592,Underworld,BloodMoon,None,0.0,2592
2593,Eastern Gem,Bridge,None,2.089167400469057,2593
2594,Fantasy,Yggdrasil,None,2.022313754702422,2594
2595,Cyberpunk,Crane,None,3.1254109442756666,2595
2596,Eastern Gem,Bridge,None,2.089167400469057,2596
2597,Fantasy,Yggdrasil,None,2.022313754702422,2597
2598,Fantasy,Yggdrasil,None,2.022313754702422,2598
2599,Spacestation,Comet,None,4.562758308242018,2599
2600,Spacestation,DockingBay,None,6.100386140514923,2600
2601,Spacestation,Mecha,Epic,99.16457312788852,2601
2602,Spacestation,SpaceWalk,None,7.470885876785018,2602
2603,Eastern Gem,Rainbow,None,2.2395881031578204,2603
2604,Fantasy,Niddhog,Epic,99.09771948212189,2604
2605,Fantasy,YggdrasilVenom,None,2.139307634622334,2605
2606,Cyberpunk,Hazmat,None,6.6185049035547365,2606
2607,Eastern Gem,FestivalLanterns,None,4.9137339298169085,2607
2608,Spacestation,Comet,None,4.562758308242018,2608
2609,Underworld,BloodMoon,None,0.0,2609
2610,Eastern Gem,Rainbow,None,2.2395881031578204,2610
2611,Spacestation,ConstructionSite,None,4.211770650297435,2611
2612,Underworld,ShopSign,None,3.4763865659650244,2612
2613,Spacestation,ConstructionSite,None,4.211770650297435,2613
2614,Spacestation,Earth,None,4.546047905606616,2614
