,Eyes,Mouth,Neck,Feet,Fur,Background,Back,Head,Rarity score,Token Id
5198,Anime,Drooling,None,None,Brown,Swamp,None,Hermit Crab,28.91154546020888,5414
5199,Closed,Red Raybeam,BAYC Collar,Cast,Tan,Swamp,Beer Saddle,Sushi Chef Headband,78.71052248473231,5415
5200,Closed,Bone,None,Leg Knife,Cheetah,Outhouse,None,Fez,46.282045385957176,5416
5201,Pilot Goggles,Blep,Japanese Bandana,Old Laces,Zombie,Outhouse,None,Sea Captain's Hat,72.80814197438814,5417
5202,Happy,Cyberjaw,None,None,Brown,Outhouse,None,None,10.00364745030601,5418
5203,Heart Eyes,Loogie,None,Kicks,Black,Outhouse,None,Pirate Captain's Hat,48.75438521218748,5419
5204,Sad,Tennis Ball,Japanese Bandana,Fresh Laces,Brown,SS Monke Biz,None,Cowboy Hat,67.87514921621357,5420
5205,Happy,Stache,None,None,Black,Club Exterior,Jetpack,Beanie,49.85633318066407,5421
5206,Happy,Beer Can,None,None,Pink,Swamp,None,None,11.70236305524156,5422
5207,Closed,Rose,None,Cast,Radioactive,Bar,None,Cowboy Hat,53.41961498187371,5423
5208,Cyclops,Smiling,None,None,Black,Club Exterior,None,Missile Launcher,26.416417602076002,5425
5209,Cyberpunk Visor,Kazoo,None,None,Black,Club Exterior,None,None,17.545870180623297,5426
5210,Glowing Red,Beer Can,None,Kicks,Pink,Outhouse,Camo Pack,None,57.87315545663847,5428
5211,Angry,Happy,BAYC Collar,None,Black,SS Monke Biz,None,None,30.508051086722155,5429
5212,Closed,Heavy Drooling,None,None,Tan,Outhouse,None,Beanie,20.108845093682707,5430
5213,Laser,Smiling,Glow Necklace,None,Black,SS Monke Biz,Beer Kegs,None,50.03357273512533,5431
5214,Pilot Goggles,Red Raybeam,None,None,Pink,Club Exterior,Service Vest,None,41.10711599602655,5432
5215,Suspicious,Kazoo,Christmas Wreath,Leg Knife,Pink,Outhouse,None,None,54.86887247322847,5433
5216,Closed,Ape Hand,None,Rain Boots,Cyberpunk,SS Monke Biz,None,None,32.63329251539795,5434
5217,Closed,Happy,Plaid Bowtie,Combat Boots,Black,SS Monke Biz,Camo Pack,Tie,84.55665983251005,5435
5218,Anime,Cyberjaw,None,None,Brown,SS Monke Biz,None,Bow,28.552922115835027,5436
5219,Happy,Smiling,Red Collar With Bone,None,Tan,SS Monke Biz,None,None,20.5578172743132,5437
5220,Glowing Red,Fish,None,None,Pink,SS Monke Biz,None,None,16.34925573796769,5438
5221,Angry,Loogie,None,None,Brown,Swamp,None,Halo,29.14933984453324,5439
5222,Closed,Tennis Ball,Gold Links,Combat Boots,Brown,Swamp,Service Vest,Sushi Chef Headband,84.0018637994382,5440
5223,Happy,Heavy Drooling,None,None,Black,Outhouse,Beer Saddle,None,31.95365342118755,5441
5224,Happy,Panting,None,None,Zombie,SS Monke Biz,Blue Pack,BAYC Logo Hat Red,51.97379053679468,5442
5225,Closed,Smiling,None,None,Brown,Outhouse,Service Vest,BAYC Logo Hat Red,39.842473241468646,5443
5226,Radioactive,Smiling,Golden Bone Necklace,Fresh Laces,Pink,Club Exterior,None,Bow,67.19193085063549,5444
5227,Closed,Hot Dog,Spiked Collar,None,Zombie,Club Exterior,None,None,34.38469866125523,5445
5228,Robot,Cute Smile,BAYC Collar,Boots,Black,Swamp,None,Rain Hat,64.68578327067623,5446
5229,Happy,Goofball,Pink Collar,80s Kicks,Black,Outhouse,None,Sea Captain's Hat,63.31198509640661,5447
5230,Closed,Fire Breath,None,80s Kicks,Tan,Bar,None,Pimp Hat,47.92400558326685,5448
5231,Heart Eyes,Smiling,BAYC Collar,None,Black,Club Exterior,Service Vest,None,48.88231652500624,5449
5232,Hypnotized,Hot Dog,None,None,Trippy,Swamp,None,Bird,33.697892371135794,5450
5233,Goofy,Bloody,Golden Bone Necklace,None,Brown,Swamp,Basketball Hoop,None,54.78190121415392,5451
5234,Wide,Cigar,Ribbon,Rain Boots,Black,Outhouse,None,Beanie,66.76173490859931,5452
5235,Sunglasses,Heavy Drooling,Hawaiian Bandana,None,Tan,Club Exterior,None,Banana Peel,47.86737324891407,5453
5236,Anime,Confused,None,Boots,Brown,Swamp,Toilet Paper Dispenser,None,55.44614005085036,5454
5237,Whatever,Panting,None,None,Cheetah,Outhouse,None,Bow,32.03700689641177,5455
5238,Happy,Smiling,BAYC Collar,None,Tan,Bar,None,Sea Captain's Hat,38.710152520493054,5456
5239,Angry,Rainbow Teeth,None,None,Pink,SS Monke Biz,Blue Pack,Purple Headband,53.12881513354749,5457
5240,Happy,Hot Dog,None,None,Cheetah,Club Exterior,None,Pimp Hat,31.127285147921913,5458
5241,Wide,Smiling,Pink Collar,None,Mega Death Bot,Swamp,Blue Pack,None,53.559000454476816,5459
5242,Whatever,Rose,Japan Bandana,Boots,Black,Outhouse,None,None,52.20409020698664,5460
5243,Bloodshot,Panting,Japan Bandana,None,Tan,Outhouse,Service Vest,Beanie,66.33511080276976,5461
5244,Angry,Bone,Whiskey Barrel,Pink Combat Boots,Cheetah,Swamp,None,Fez,71.24178893042216,5462
