,Legendary,Origin,Augmint,Advocate,Hat,Eyes,Neck,Body,Background,Mouth,Nosering,Special,Spikes,Skin,origin,Rarity score,Token Id
5710,None,Baby,Business Attire,None,None,Looking Up,Kaiju Chain Goldxsilver,None,Olive,Cigarette,None,None,Burgundy,Sand,None,31.751707337857006,5710
5711,None,Baby,Business Attire,None,None,Concern,Red Bowtie,None,Sky Blue,Snaggle Tooth,None,None,Gray,Brown,None,34.003629191553586,5711
5712,None,Baby,Business Attire,None,None,Looking Up,Silver Spike Collar,None,Blue,None,None,None,Black,Brown,None,15.2493740610154,5712
5713,None,Baby,Business Attire,None,Orange Beanie,Angered,None,None,Blue,Snaggle Tooth,None,None,Green,Gray,None,39.656987803903604,5713
5714,None,Baby,None,None,Green Beanie,Mutant Visor,None,None,Olive,Snaggle Tooth,None,None,Burgundy,Black,None,37.85749489455808,5714
5715,None,Baby,None,None,None,Happy,None,None,Olive,None,None,None,Brown,Gray,None,2.5489404245839884,5715
5716,None,Baby,None,None,Archwizard Hat,Looking Up,None,None,Gray,None,None,None,Sand,Gray,None,17.009415010754005,5716
5717,None,Baby,None,None,None,None,None,None,Sand,None,None,Rx Type 78,Sand,Burgundy,None,31.971857924761977,5717
5718,None,Baby,Ruby Goggles,None,None,Eye Patch,None,None,Orange,Banana,None,None,Green,Black,None,41.81299064663527,5718
5719,None,Baby,Business Attire,None,None,Black Clubmasterz,Gold Bowtie,None,Sand,E Cig,None,None,Sand,Burgundy,None,34.93887623712361,5719
5720,None,Baby,Business Attire,None,Trendy Gpt Bucket Hat,Sad,Gold Spike Collar,None,Green,E Cig,None,None,Gray,Sand,None,48.09824039493668,5720
5721,None,Baby,None,None,Red Beanie,Blushy Sleepy,Green Bowtie,None,Orange,Cigar,None,None,Burgundy,Burgundy,None,46.68320244799467,5721
5722,None,Baby,None,None,Black Visor,Sad,None,None,Orange,None,None,None,Sand,Sand,None,18.165275584705448,5722
5723,None,Baby,Business Attire,None,Teal Beanie,Looking Up,Gold Chain,None,Blue,None,None,None,Burgundy,Gray,None,27.174879356274324,5723
5724,None,Baby,None,None,None,Looking Up,Camo Hoodie,None,Teal,Snaggle Tooth,None,None,Burgundy,Sand,None,31.051239383766276,5724
5725,None,Baby,None,None,None,Looking Up,Squat Hoodie,None,Pink,None,None,None,Sand,Green,None,14.028874933481985,5725
5726,None,Baby,Business Attire,None,None,Gold Clubmasterz,Red Bowtie,None,Blue,None,None,None,Gray,Green,None,16.529545574777487,5726
5727,None,Baby,None,None,Burgundy Trucker Hat,Black Thick Rims,None,None,Olive,None,None,None,Gray,Green,None,18.504477663646473,5727
5728,None,Baby,None,None,None,Looking Forward,Blue Bowtie,None,Orange,None,None,None,Blue,Burgundy,None,13.63628200938272,5728
5729,None,Baby,Business Attire,None,Black Beanie,Thug Life,Kaiju Chain Silver,None,Pink,None,None,None,Gray,Sand,None,29.356349802495725,5729
5730,None,Baby,Business Attire,None,Birthday Hat,Pit Visors,None,None,Green,Snaggle Tooth,None,None,Green,Black,None,42.03605165082841,5730
5731,None,Baby,Jolly Roger,None,Burgundy Trucker Hat,Looking Forward,White Toga,None,Teal,None,None,None,Sand,Blue,None,43.12080898685564,5731
5732,None,Baby,Business Attire,None,Burgundy Trucker Hat,Looking Forward,None,None,Teal,Snaggle Tooth,None,None,Black,Gray,None,38.70178355499868,5732
