,Beak,Background,Feathers,Body,Outerwear,Eyes,Headwear,Eyewear,Rarity score,Token Id
253,Small,Gray,Red,Crescent,None,Discerning,Moon Hat,None,13.493988962593257,253
254,Short,Gray,Purple,Crescent,None,Open,Moon Hat,None,12.37602708279973,254
255,Long,Green,Brown,Tabby,None,Open,None,Monocle,48.38061624901098,255
256,Short,Pink,Brown,Crescent,None,Relaxed,Moon Hat,None,15.388241447409504,256
257,Small,Gray,Green,Stark,None,Discerning,Headphones,None,26.847574026402583,257
258,Small,Yellow,Purple,Crescent,None,None,Flower,3D Glasses,46.019327318270165,258
259,Small,Green,Gray,Professor,None,Discerning,Flower,None,27.160312853837652,259
260,Small,Pink,Purple,Brave,None,Side-eye,Tiny Crown,None,27.401146417587896,260
261,Long,Purple,Red,Stark,None,Side-eye,Moon Hat,None,30.66106120182459,261
262,Short,Gray,Gray,Stark,None,None,None,3D Glasses,43.262419036173014,262
263,Small,Yellow,Blue,Brave,Punk Jacket,Open,None,Big Tech,71.14859747269067,263
264,Long,Gray,Gray,Brave,Gold Chain,Side-eye,Raincloud,None,64.93151236253378,264
265,Short,Blue,Blue,Crescent,Jean Jacket,Angry,None,None,36.17436948740413,265
266,Short,Blue,Purple,Stark,None,Moon,Forest Ranger,None,28.788581666681264,266
267,Short,Pink,Red,Crescent,None,Open,Bucket Hat,None,10.841162181607714,267
268,Short,Purple,Metal,Robot,None,Angry,Skully,None,31.728883915020496,268
269,Small,Green,Red,Guardian,Gold Chain,Angry,Flower,None,52.823003596747,269
270,Small,Blue,Pink,Crescent,Hoodie,Open,None,None,34.197527642187495,270
271,Small,Pink,Red,Crescent,None,Side-eye,Tiny Crown,None,14.593948372193392,271
272,Short,Pink,Pink,Stark,None,Angry,Lincoln,None,26.412581894758446,272
273,Short,Gray,Gray,Tabby,Jean Jacket,Angry,Forest Ranger,None,54.18147371070611,273
274,Short,Gray,Red,Brave,Jean Jacket,Open,None,None,39.9339793984739,274
275,Short,Blue,Blue,Tabby,None,Open,None,None,12.009451244557708,275
276,Short,Green,Brown,Crescent,None,Discerning,Lincoln,None,15.323587353781193,276
277,Long,Green,Brown,Tranquil,None,None,None,Gazelles,52.700733030657254,277
278,Short,Blue,Red,Tabby,None,Angry,Pirate's Hat,None,22.778514379035574,278
279,Small,Green,Purple,Guardian,Diamond Necklace,Discerning,None,None,45.71362002683436,279
280,Short,Gray,Gray,Crescent,None,Relaxed,Backwards Hat,None,16.4810521402228,280
281,Short,Pink,White,Brave,None,Adorable,None,None,21.445202300094383,281
282,Small,Purple,White,Tabby,None,Side-eye,None,None,16.455935451231838,282
