,Eyes,Mouth,Clothes,Fur,Background,Earring,Hat,Rarity score,Token Id
175,Scumbag,Bored,Service,Black,Aquamarine,Silver Hoop,None,61.09342726513985,175
176,Coins,Phoneme  ooo,Puffy Vest,Black,Yellow,None,Bowler,45.10020818030642,176
177,Heart,Grin,Blue Dress,Dark Brown,Army Green,None,Sushi Chef Headband,43.492946053706305,177
178,Sleepy,Bored Unshaven,Puffy Vest,Tan,Aquamarine,Silver Hoop,Girl's Hair Pink,79.6304983261184,178
179,Sad,Bored,Bayc T Black,Blue,Army Green,None,Bowler,36.72205702589156,179
180,Zombie,Bored Cigarette,Biker Vest,Cream,Gray,None,Seaman's Hat,46.6363547038244,180
181,Crazy,Bored,Leather Punk Jacket,Dmt,Aquamarine,Silver Stud,None,66.82506950457096,181
182,Bloodshot,Bored,Lumberjack Shirt,Black,Army Green,None,Seaman's Hat,29.04083317228129,182
183,Sleepy,Bored,Bone Tee,Brown,Yellow,Gold Stud,None,59.021645258825885,183
184,X Eyes,Bored Unshaven,Rainbow Suspenders,White,Gray,None,Prussian Helmet,45.80376510120128,184
185,Blue Beams,Bored Cigarette,Cowboy Shirt,Zombie,Orange,None,Fez,50.94162173461869,185
186,Closed,Bored,Wool Turtleneck,Golden Brown,Gray,None,Army Hat,33.940026529456816,186
187,Bloodshot,Bored Unshaven,Biker Vest,Dmt,Purple,Silver Hoop,Halo,79.92734981109625,187
188,Sleepy,Bored,Prom Dress,White,Gray,Silver Hoop,Fisherman's Hat,76.3258991867963,188
189,Closed,Bored Unshaven,None,White,Army Green,Cross,Prussian Helmet,75.3835679515004,189
190,Bored,Bored,None,Brown,Yellow,None,Girl's Hair Short,13.213447923606886,190
191,3d,Bored,None,Dark Brown,New Punk Blue,None,Halo,20.45588279953174,191
192,Bored,Phoneme Vuh,None,Dark Brown,Yellow,None,None,12.251649399316168,192
193,Laser Eyes,Rage,Bone Necklace,Cream,Gray,None,None,39.516906488883066,193
194,Bloodshot,Dumbfounded,Black T,Brown,Purple,None,None,26.594465443123116,194
195,Bored,Bored Cigarette,Work Vest,Zombie,Blue,Gold Hoop,None,70.16847282362446,195
196,Bored,Bored Cigarette,None,Death Bot,Gray,Silver Hoop,Seaman's Hat,69.63272760427165,196
197,X Eyes,Grin,Bone Necklace,Solid Gold,Army Green,None,Bayc Hat Red,52.63922856207125,197
198,Crazy,Discomfort,None,White,New Punk Blue,Gold Stud,Baby's Bonnet,84.02586799755882,198
199,Zombie,Grin,Striped Tee,Brown,Army Green,None,Girl's Hair Short,42.12461445399511,199
200,Heart,Bored Cigarette,Leather Jacket,Death Bot,Purple,None,Cowboy Hat,49.00525866143613,200
201,Bored,Bored Unshaven,Leather Punk Jacket,Black,New Punk Blue,None,None,16.699143796382984,201
202,Bored,Phoneme  ooo,Caveman Pelt,Noise,Gray,None,None,32.332792161250076,202
203,Bored,Jovial,Tuxedo Tee,Tan,New Punk Blue,None,Horns,41.09829701171632,203
204,Eyepatch,Phoneme Vuh,None,Noise,New Punk Blue,None,None,29.221614894894277,204
205,Crazy,Bored Pipe,Guayabera,Black,New Punk Blue,None,Fez,45.91348219645571,205
206,Blindfold,Jovial,None,Dark Brown,New Punk Blue,Diamond Stud,Sea Captain's Hat,78.67525194426356,206
207,Heart,Bored Unshaven,Black T,Dmt,Aquamarine,None,None,30.37698955488668,207
208,Coins,Bored Unshaven Pizza,Prom Dress,Pink,Army Green,Silver Stud,Fez,91.54502605293979,208
209,Angry,Bored,Prison Jumpsuit,Golden Brown,Gray,None,None,23.102400767408497,209
210,X Eyes,Grin,Smoking Jacket,Red,New Punk Blue,None,None,36.03784539875657,210
211,Zombie,Bored,Work Vest,Trippy,Gray,None,Baby's Bonnet,42.273096360346145,211
212,Closed,Bored,Pimp Coat,Cream,Orange,Diamond Stud,Army Hat,79.1206802217305,212
213,Hypnotized,Bored Cigarette,None,Brown,Gray,Silver Stud,None,60.09307308376612,213
214,Closed,Dumbfounded,Wool Turtleneck,Brown,Orange,Silver Stud,Irish Boho,81.32148330282726,214
215,Bored,Bored,None,Dark Brown,Army Green,None,Cowboy Hat,12.271008237163509,215
216,Coins,Bored,None,Tan,Army Green,Silver Stud,None,52.67041036467729,216
217,Bloodshot,Rage,Prom Dress,Pink,New Punk Blue,Gold Stud,None,78.04921366154558,217
218,Zombie,Grin,Caveman Pelt,Brown,Blue,None,Army Hat,42.80876024237729,218
219,Bored,Discomfort,Puffy Vest,Cream,Orange,None,Stuntman Helmet,42.001929928120674,219
220,Blindfold,Bored,Black Holes T,Red,Yellow,None,Short Mohawk,38.12275169933784,220
221,Crazy,Phoneme Wah,Sailor Shirt,Dark Brown,Purple,None,Cowboy Hat,44.35142404780032,221
