,Body,Outerwear,Eyes,Species,Shoes,Background,Head,Attitude,Headwear,Eyewear,Underfoot,Rarity score,Token Id
5419,Brown,None,None,Bird,None,Blue,Skull,Passant,None,3D,None,25.133052686556688,5419
5420,Blue,Gold Grill,Side-eye,Rabbit,None,Pink-ish,Creep,Sejant,Witch's Hat,None,None,36.67803950663729,5420
5421,Skeleton,None,None,Bug,None,Purple,Skull,Statant,Mohawk (Green),Patch,None,37.433029971812424,5421
5422,Red,None,None,Lizard,None,Green,Creep,Passant,None,Noggles,None,25.257945900888824,5422
5423,Purple,None,Suspicious,Toad ,None,Purple,None,Statant,Backwards Hat,None,None,16.304660937639582,5423
5424,Grey,None,Divit,Rabbit,Gym (Chromie),Green,Skull,Passant,Oddities Hat,None,None,25.531789738151893,5424
5425,Pink,None,Suspicious,Toad ,Work Boots,Blue,None,Rampant,Moon Hat,None,None,32.537481542859744,5425
5426,White,None,None,Fish,Work Boots,Yellow,Flesh,Statant,Bow (Pellet),Sunglasses,None,49.75338200044139,5426
5427,White,None,None,Rat,Slipons (White),Yellow,Flesh,Crustant,Pirate,Patch,None,47.9937510703548,5427
5428,Black,None,Side-eye,Rat,None,Pink-ish,Flesh,Passant,Fire,None,None,14.637436053693206,5428
5429,Blue,Jean Jacket,None,Rabbit,None,Pink-ish,Flesh,Rampant,Durag,Patch,None,57.94147974500614,5429
5430,Green,None,Sleepy,Cat,Hightops (White),Grey,Flesh,Sejant,Stealth Headband,None,None,29.580439648492877,5430
5431,Green,None,Angry,Mutant Toad,None,Yellow,Rabbit,Passant,Fire,None,None,22.187858660862965,5431
5432,Brown,None,Relaxed,Rat,Hightops (Green),Yellow,Creep,Statant,Queen's Crown,Monocle,None,49.821692224948244,5432
5433,Red,Hoodie Down,Angry,Rabbit,None,Pink-ish,Creep,Statant,Mohawk (Pink),None,None,34.27930973096171,5433
5434,Brown,None,Stirring,Rat,None,Green,Skull,Crustant,None,None,None,5.249908642456276,5434
5435,Pink,None,Sleepy,Bug,Work Boots,Pink,Flesh,Passant,None,None,None,26.049215103786427,5435
5436,Green,None,Stirring,Mutant Toad,Hightops (White),Pink,Rat,Crustant,Halo,None,None,41.96651328639497,5436
5437,Green,None,Eclipse,Toad ,Socks (Floppy),Grey,None,Statant,Raincloud,None,None,31.277257034753237,5437
5438,Brown,Diamond Grill,Discerning,Bug,None,Yellow,Creep,Passant,Halo,None,None,36.38686883838951,5438
5439,Blue,Jean Jacket,Dead,Fish,Hightops (Grey),Yellow,Skull,Crustant,Skully,None,None,52.8981211502737,5439
5440,Green,Hoodie,Side-eye,Rabbit,None,Green,Creep,Statant,None,None,None,25.76024562664801,5440
5441,White,None,Suspicious,Toad ,None,Yellow,None,Crustant,Wizard's Hat,None,None,17.14287886488723,5441
5442,Red,None,Rainbow,Cat,None,Purple,Skull,Sejant,Mohawk (Green),None,None,13.5733329723783,5442
5443,Red,None,Eclipse,Toad ,None,Purple,None,Statant,Oddities Hat,None,None,15.103809569931121,5443
5444,Green,Punk Jacket,Suspicious,Toad ,None,Grey,None,Crustant,Headband,None,None,40.277169910898216,5444
