,Earrings,Hat,Hair,Neck,Top,Hex,Background,???,Cover,Face Accessory,Brooch,Mouth Piece,Extraordinary,Rarity score,Token Id
8316,None,Silk Wrap,Byeol,Knotted Pearls,Bones,0xF9C9BD,Pine Green,X,Blue Off The Shoulder,Butterfly,None,None,None,36.829967581504775,8316
8317,Gold Triangle,Golden Bird,Cleo,None,None,0xF9C9BD,Blue Lagoon,X,Neon Windbreaker,Blue Bad Zippy,None,None,None,30.219155324940473,8317
8318,Key,None,Andrew,Disposable Razor,All Black,0xF8C3A2,Cotton Sky,Y,None,None,None,None,None,24.710507719559338,8318
8319,None,None,Lilly,None,Plaid Spaghetti,0xAA7560,Pink Daisy,X,Future Leather,Blocked Corners,None,None,None,19.275960500877222,8319
8320,Safety Pin,None,Leif,None,Purple Turtle,0xF9C9BD,Lavender,Y,Purple Denim,Data,None,None,None,29.937506302060935,8320
8321,ZIP Heart,Pink Bandana,Denver,Belt Choker,Red Lace Bra,0xAA7560,Pink Daisy,X,None,Blue Bling,None,None,None,37.09637281655429,8321
8322,None,None,Domino,Pink Z,Red Cheetah,0xF29876,Persian Rose,X,Super Racer,Blue Bad Zippy,None,None,None,30.17052714586146,8322
8323,Black Pearl,None,Rosie,Regal,Blue Toga,0xF29876,Red Wine,X,Urban Leather,HUD,None,None,None,36.31578694892433,8323
8324,Lunar,None,Odin,Z,Red Toga,0xF9C9BD,Sunglow,Y,None,None,None,None,None,24.23286938658471,8324
8325,None,None,Summer,None,None,0xF9C9BD,Sunglow,X,Pastel Windbreaker,Blocked Corners,None,None,None,12.30652987790341,8325
8326,Gold Triangle,None,Demi,Silver Beads,Red Raven,0xF8C3A2,Deluge,X,Iridescent Blazer,Future,None,None,None,31.505646840821623,8326
8327,Solar,Steampunk,Leif,Studded Collar,Roulette,0xF8C3A2,Turquoise,Y,None,None,None,None,None,36.168114732854704,8327
8328,None,Tie Dye Headband,Hae,None,None,0xF9C9BD,Mariner,X,Pastel Windbreaker,Eyepatch,None,Cigarette,None,50.19911712616862,8328
8329,Little Gold Dangler,Electro Cat,Jae,Gold Chain Link,Blue Denim,0xF9C9BD,Cotton Sky,X,Future Leather,None,None,None,None,37.22812448050912,8329
8330,Black Pearl,None,Kwan,None,Breast Plate,0xAA7560,Red Wine,X,None,Future,None,None,None,15.90492545909657,8330
8331,None,None,Joe,Black Links,Blue Turtle,0xF8C3A2,Red Wine,Y,None,Aviator,None,Cigarette,None,50.03371097994944,8331
8332,Eyes Eyes Eyes,Green Beret,River,Pink Z,Lace & Corset,0xF9C9BD,Moon Mist,X,Blue Silk Shirt,Blue Bling,None,None,None,42.59527510708105,8332
8333,Nuevo,Yummy,Dakota,None,Green Carnival,0xF8C3A2,Mariner,X,Flannel,Pink Portal,None,None,None,33.293543919289625,8333
8334,Hearts,None,Rosie,Simple Choker,Butterfly Lady,0xF8C3A2,Spicy Mustard,X,None,Rimless Shades,None,None,None,21.67695582915135,8334
8335,Gauged,Yellow Bandana,Tomas,Tie Me Up,Red Pinwheels,0xF8C3A2,Auburn,Y,Button Down,Reflector,None,None,None,52.07380099398748,8335
8336,Blue Tassle,Maleficent,Min,Black Pearl Heart,Yellow Denim,0xF9C9BD,Neptune,X,None,Red Bling,None,None,None,32.84356781774632,8336
8337,Eyes Eyes Eyes,Let Them Eat Cake,Gi,Golden Links,Earth Origami,0xF8C3A2,Cadillac Pink,X,Iridescent Suit,None,Rainbow Beads,None,None,62.07854385779139,8337
8338,Pin Flower,Beaded Purse,Kate,None,None,0xF9C9BD,Persian Indigo,X,Neon Windbreaker,Red Blockers,None,None,None,30.29875734946934,8338
8339,Big Gold Dangler,None,Nari,Belt Choker,Red Denim,0xF8C3A2,Blue Lagoon,X,Black Silk Shirt,Future,None,None,None,30.75851392189553,8339
8340,Checker,None,Idris,None,Beige Paint,0xF8C3A2,Turkish Rose,Y,None,Cobain,None,None,None,20.43634014074069,8340
8341,Eyes Eyes Eyes,None,Frankie,None,Red Raven,0xF8C3A2,Auburn,X,Silver Surfer,None,None,None,None,16.376471893233536,8341
8342,None,Bat Ears,Jayme,Gold Chain Link,Ornate Cover,0xF8C3A2,Cotton Sky,X,None,Skeletal Skull,None,None,None,27.338253868657265,8342
8343,Ropes and Pearls,None,Rae,None,Blue Vegas,0xF8C3A2,Maroon Oak,X,Red Off The Shoulder,Carnival,None,None,None,21.741114172019017,8343
8344,Art Deco,None,Bada,None,Red Zebra,0xF29876,Auburn,X,Silver Surfer,None,None,None,None,21.30937336406255,8344
8345,Mouth,Monarch,Bada,Chain Link Cross,Red Carnival,0xAA7560,Ochre,X,None,None,None,None,None,31.762754037434615,8345
8346,Blue Tassle,None,Jee,None,Washed Denim,0xF9C9BD,Lavender,X,None,Blue Gas,None,None,None,11.621192088810476,8346
8347,Pin Flower,Golden Bird,Cleo,None,Blue Origami,0xF8C3A2,Aubergine,X,None,Pink Gimp,Rainbow Cactus,None,None,48.15139561841551,8347
8348,100 Cuts,None,Cho,Thick Iridescent Chain,Cashmere,0xF8C3A2,Ultra Pink,Y,Traditional,Rimless,None,None,None,39.79029536747003,8348
8349,Death,Two Dice,Alice,Scarf,Red Lace Bra,0xF9C9BD,Cardinal,X,Blue Off The Shoulder,Blocked Corners,None,None,None,42.08699546433486,8349
8350,Death,Tie Dye Headband,Eun,None,Strawberries and Cream,0xAA7560,Sunset Sky,X,Taxi,Blue Bling,Rainbow Cactus,None,None,61.27920035343758,8350
8351,Rainbow,Beaded Purse,Ki,Chain Choker,Green Vegas,0xF9C9BD,Cobalt,X,Black Silk Shirt,Blocked Corners,Rainbow Unicorn,None,None,66.36746292269873,8351
8352,Solar,None,Gunnar,Belt And Chains,Light Clouds,0xF9C9BD,Auburn,Y,None,None,None,None,None,24.477805231780238,8352
8353,Cuffs,Bat Ears,Meg,Deep Stones,Black Straps,0xF9C9BD,Lavender,X,Green Leather Studs,Red Bling,None,None,None,42.82185676293503,8353
8354,Light Cross,None,Niko,Black Links,Black Tank,0xAA7560,Deep Cove,Y,None,Ocular,None,None,None,34.398495701498675,8354
8355,Gold Triangle,None,Nari,None,Zipcy Runner,0xF9C9BD,Sunset Sky,X,Silver Surfer,None,None,None,None,15.7977401025826,8355
8356,Double Emerald,Gold Domes,Bobbie,None,Rainbow Exo,0x000000,Lavender,X,Super Racer,Butterfly,None,None,None,39.65898854092491,8356
8357,Cuffs,Hoop Beret,Min,Cat In The Moon,Yellow Denim,0xF8C3A2,Stratos,X,None,Blue Bad Zippy,None,None,None,32.901755583173134,8357
8358,Double Gauge,None,Easton,Silver Bar,Medusa,0xF8C3A2,Hibiscus,Y,None,Aviator,None,None,None,29.612740649365126,8358
8359,Left Red Stud,Steampunk,Tyler,Silver Bar,None,0xAA7560,Blue Koi,Y,Daddy,Zipper,None,None,None,53.39640888512688,8359
8360,Double Gauge,Pink Big Z Bucker Hat,Soo,None,Beige Paint,0xF29876,Blue Lagoon,Y,None,None,None,None,None,30.632414790268314,8360
8361,Art Deco,Pink Topper,Gemma,None,Breast Plate,0xAA7560,Persian Rose,X,None,Red Flames,Rainbow Cactus,None,None,52.054891428319806,8361
8362,Big Cuffs,Blue Big Z Bucket Hat,Marceau,Chain Link,Green Clouds,0x000000,Turkish Rose,Y,Leather,Rimless,None,None,None,58.12039303319738,8362
8363,Death,Snow Cap,Ara,Regal,Skater Girl,0xF8C3A2,Iris,X,None,Red Flames,None,None,None,33.22629827659072,8363
8364,Button Flower,None,Summer,None,Grid Mesh,0xF9C9BD,Auburn,X,None,Green Cybex,Rainbow Cactus,None,None,35.99348909148573,8364
8365,None,None,Lilly,None,Traditional,0xF9C9BD,Stratos,X,None,Data,None,None,None,5.386446660932556,8365
8366,None,None,Orion,Mixed Metals,Simple Black,0xF9C9BD,Azure,Y,Poker,Blue Readers,None,None,None,34.22694251221649,8366
8367,Mushroom,Punk Bike Hat,Luna,Universe Hearts,Dom,0xF9C9BD,Hibiscus,X,None,Blue Gas,None,None,None,32.94155090896342,8367
8368,Art Deco,Kaleidoscope,Nari,Pearl Chain,Bones,0xF9C9BD,Deep Cove,X,None,Green Cybex,None,None,None,32.46388260587869,8368
8369,Basic Chain,Crown Of Thorns,Luc,Silver Chain,70s,0xF29876,Cadillac Pink,Y,Formal,ZIP-1337,None,None,None,56.601757972128254,8369
8370,Neon Chain,None,Sofia,Cat In The Moon,Black Rufffle,0xF29876,Persian Rose,X,None,Future,None,None,None,26.821045230816015,8370
8371,Gold Hoop,Electro Cat,Alice,None,None,0x000000,Lavender,X,Green Formal,Flowers,None,None,None,37.295120999170514,8371
8372,None,None,Mollie,Deep Stones,Black Straps,0xF8C3A2,Hibiscus,X,Iridescent Blazer,Skeletal Skull,None,None,None,25.874709966282573,8372
8373,None,None,Lilly,Pink Z,Teal Puff,0xAA7560,Midnight Moss,X,None,Data,None,None,None,19.79058564594901,8373
8374,Solar,None,Dion,Chain Link,Bowler Shirt,0xF8C3A2,Cobalt,Y,Ropes,Blue Readers,None,None,None,40.45773081552474,8374
8375,Button Flower,Silk Wrap,Yon,None,Black Dragon,0xAA7560,Pale Olive,X,None,Carnival,None,None,None,27.59236578347132,8375
8376,Double Emerald,Blocked Beret,Jee,None,None,0xAA7560,Iris,X,Pastel Windbreaker,Blocked Corners,None,None,None,34.00348222060818,8376
8377,Cuffs,None,Nari,None,Green Carnival,0xF9C9BD,Ultra Pink,X,Brown Silk Shirt,Green Cybex,None,None,None,21.119543189544377,8377
8378,Bronze,None,Evan,Disposable Razor,Red Toga,0xF9C9BD,Cotton Sky,Y,None,None,None,None,None,24.24202993800936,8378
8379,None,None,Domino,None,Neon Black Toga,0xF9C9BD,Seafoam Blue,X,None,None,None,None,None,0.061254036656806905,8379
8380,Pin Flower,None,Echo,Pink Z,Pink Puff,0x000000,Cadillac Pink,X,None,Red Bad Zippy,None,None,None,27.874320477887473,8380
8381,Button Flower,Leopard Beret,Goo,Pearl Chain,Fire Corset,0xF9C9BD,Seafoam Blue,X,None,Data,None,None,None,32.85583530232781,8381
8382,None,None,Johnny,Bottle Opener,None,0xF9C9BD,Midnight Moss,Y,Daddy,None,None,None,None,25.797423351474364,8382
8383,None,None,Gemma,None,Strawberries and Cream,0xF8C3A2,Vanilla Sky,X,Taxi,Red Bad Zippy,None,None,None,15.231137264909913,8383
8384,Gold Infinity,Yummy,Ki,None,Grid Mesh,0x000000,Cadillac Pink,X,Black Leather Studs,Blue Gas,None,None,None,39.5089684815925,8384
8385,Black Safety Pin,Classic Black Beret,Cosmo,Silver Chain,Green Loose Neck,0xF8C3A2,Cotton Sky,Y,Red Denim,Silver Frames,None,None,None,51.98498948746324,8385
8386,Solar,None,Niko,None,Punk,0xF8C3A2,Maroon Oak,Y,None,Blue Readers,None,None,None,20.329175474328814,8386
8387,Key,Blue Beret,Tomas,Z,Punk,0xF29876,Cadillac Pink,Y,None,None,None,None,None,41.02405866580764,8387
8388,Checker Chain,None,Luc,Belt,Neon Pink,0xF9C9BD,Spicy Mustard,Y,Purple Blazer,HUD,None,None,None,39.80253838622937,8388
8389,None,Leopard Beret,Goo,8888,Washed Denim,0x000000,Rubber Ducky,X,None,None,Rainbow Cactus,None,None,52.664258310202925,8389
8390,Solar Rose,Red Beret,Yon,None,Red Cheetah,0xF8C3A2,Lavender,X,Urban Leather,Data,None,None,None,32.72712096170014,8390
8391,None,None,Cho,None,Butterfly Lady,0xAA7560,Cobalt,X,None,Fish Bowl,None,None,None,9.970440708265581,8391
8392,None,Monarch,Mee,None,Red Strike,0xF29876,Maroon Oak,X,Taxi,Blue Bling,None,None,None,31.94314354567626,8392
8393,Black Pearl,None,Demi,8888,Glow Girl,0xAA7560,Persian Rose,X,None,Data,None,None,None,25.972891898472916,8393
8394,None,None,Nari,Chain Choker,Pink Puff,0xF9C9BD,Azure,X,None,Future,None,None,None,15.127136390008483,8394
8395,100 Cuts,None,Leif,Z,Black Netting,0xAA7560,Turquoise,Y,Poker,Gold Frames,None,None,None,44.80232814800203,8395
8396,None,Maleficent,Tamara,None,Rainbow Exo,0xF8C3A2,Cotton Sky,X,Iridescent Blazer,Red Bad Zippy,None,None,None,26.9278601517726,8396
8397,Basic Chain,Red Bandana,Wolf,Thick Iridescent Chain,Green Clouds,0xF8C3A2,Stratos,Y,Strapped,None,None,None,None,45.85846153968594,8397
8398,None,None,Mel,None,None,0xAA7560,Cobalt,X,Pastel Windbreaker,None,None,None,None,11.902248322728145,8398
8399,Button Flower,Sun Hat,Bobbie,Fuck,Black Basic,0xF9C9BD,Vanilla Sky,X,Iridescent Blazer,None,None,None,None,37.35061153042836,8399
8400,Lunar,None,Ari,Thorns,Black Tank,0xF9C9BD,Turkish Rose,Y,None,Black Rims,None,None,None,30.04761111238053,8400
8401,Light Cross,None,Mason,Bottle Opener,Blue Turtle,0xAA7560,Iris,Y,Vegas,Red Fire,None,None,None,44.87581624199443,8401
8402,None,None,None,None,None,0xAA7560,Tyrian Purple,Y,Exo,None,None,None,None,20.570465668536094,8402
8403,Mushroom,Leopard Beret,Eun,Deep Stones,Red Carnival,0xF9C9BD,Mariner,X,Iridescent Blazer,Occular,None,None,None,42.570794580506515,8403
8404,Light Saber,Spiked Crown,River,None,None,0xF29876,White Rock,X,Neon Windbreaker,Blocked Corners,None,None,None,35.096613447136384,8404
8405,Gold Hoop,None,Roma,Belt Choker,Yellow Raven,0xF8C3A2,Stratos,X,None,None,None,None,None,15.944902049187826,8405
8406,100 Cuts,Derelique,Alessio,None,Purple Turtle,0xF9C9BD,Cotton Sky,Y,None,Red Bad Zippy,None,None,None,31.35223386465913,8406
8407,Big Gold Pearl,Blue Beret,Cho,Tiled Choker,Red Toga,0x000000,Aubergine,X,Iridescent Suit,Eyepatch,None,None,None,49.08606111558903,8407
8408,Red Pinwheel,Pink Bandana,Sofia,Chain Choker,Red Zebra,0xF9C9BD,Persian Rose,X,None,Eyepatch,None,None,None,32.92317845339045,8408
8409,Big Cuffs,Headband,Elio,Ancient,Grey Shirt,0xF8C3A2,White Rock,Y,Purple Blazer,Red Fire,None,None,None,52.07991905758445,8409
8410,Big Cuffs,None,Luc,Candy Kid,Black Loose Neck,0xF8C3A2,Pine Green,Y,Strapped,Gold Frames,None,None,None,40.36279779782259,8410
8411,None,None,Hae,Lunar Choker,Blue Vegas,0xF9C9BD,Rubber Ducky,X,Future Leather,Fish Bowl,None,None,None,25.360251948798002,8411
8412,Checker,Punk Beret,Mateo,Z,Tigers,0xF8C3A2,White Rock,Y,None,None,None,None,None,36.253848256862575,8412
8413,Double Emerald,Pink Topper,River,None,Fire Corset,0xF8C3A2,Pine Green,X,Taxi,Pink Flames,None,None,None,33.109791118421185,8413
8414,Red Tradition,Punk Bike Hat,Meg,8888,Red Denim,0xF29876,Midnight Moss,X,Black Leather Studs,HUD,None,None,None,47.80627071899408,8414
8415,Checker Chain,Blue Big Z Bucket Hat,Mateo,None,None,0xF29876,Deep Cove,Y,Purple Blazer,None,None,None,None,38.651257296300614,8415
8416,Eyes Eyes Eyes,Red Rose,Nari,Gold Chain Link,Candy Girl Heart,0xF8C3A2,Spicy Mustard,X,Brown Silk Shirt,None,None,None,None,37.19136751045225,8416
8417,None,Beanie,Wolf,Belt And Chains,Seafoam,0xF8C3A2,Cinereous,Y,Suede,Cybertron,None,None,None,46.259764649019424,8417
8418,Flower Cross,None,Summer,None,Red Raven,0xF9C9BD,Aubergine,X,Blue Off The Shoulder,Cybertech,None,None,None,21.309397511515154,8418
8419,Bronze,None,Cho,Black Links,Roulette,0xAA7560,Pale Lime,Y,Poker,Blue Razor Mask,None,None,None,44.19303118905761,8419
8420,Black Safety Pin,Sakkat,Lewis,Studded Collar,Red Loose Neck Stripes,0xF9C9BD,Turquoise,Y,None,Banger,None,None,None,41.51719648422142,8420
8421,None,Four Dice,Kija,Golden Links,Strawberries and Cream,0xF9C9BD,Cadillac Pink,X,Pink Leather Studs,Rimless Shades,None,None,None,36.774860212212346,8421
8422,None,Green Beret,Hunter,Tiled Choker,Dom,0x000000,Iris,X,Pink Leather Studs,Tassles,None,None,None,43.608610304790645,8422
8423,Little Gold Dangler,Yummy,Jae,None,Armour Plate,0xF9C9BD,Pale Olive,X,None,Rimless,None,None,None,22.76066254363818,8423
8424,Rainbow,None,Blythe,None,Breast Plate,0xF8C3A2,Cinereous,X,None,Occular,None,None,None,11.810995403642329,8424
8425,Cuffs,None,Denver,None,Cupcake,0xF9C9BD,Sunglow,X,Green Leather Studs,Skeletal Skull,None,None,None,21.57274234077426,8425
8426,Tribal,Bat Ears,Frankie,Lunar Choker,Grid Mesh,0xF8C3A2,Auburn,X,Flannel,None,None,None,None,37.473066873886154,8426
8427,None,Classic Black Beret,Saem,Fleur-De-Lis,Black Loose Neck,0xF9C9BD,Deluge,Y,Formal,None,None,None,None,39.2696128115552,8427
8428,Button Flower,Golden Bird,Cleo,None,Armour Plate,0xF8C3A2,Azure,X,None,None,None,None,None,18.00847723056945,8428
8429,Gold Infinity,Safety Pins,Colette,8888,Blue Ropes,0xF29876,Lavender,X,Blue Silk Shirt,Red Pointed,None,None,None,48.063438560845945,8429
8430,Big Gold Dangler,None,Summer,Pearl Chain,Cupcake,0xF9C9BD,Lavender,X,Iridescent Suit,Blue Bling,None,None,None,31.321965374539563,8430
8431,None,None,Alice,None,Red Lace Bra,0xF9C9BD,White Rock,X,None,Rimless,None,None,None,5.460020239054325,8431
8432,Lunar,Hat with Red Bandana,Janos,Thorns,Light Clouds,0xF8C3A2,Ultra Pink,Y,None,Hero Wing,None,None,None,42.25508821576427,8432
8433,None,Sun Hat,Jewel,Deep Stones,Plaid Pocket,0xF9C9BD,Ochre,X,Future Leather,Red Pointed,None,None,None,36.84221473590119,8433
8434,None,None,Lilly,None,2 Piece Z,0xAA7560,Aubergine,X,None,None,None,None,None,4.71579467793081,8434
8435,None,None,Tyler,None,Chest Strap,0xF8C3A2,Ochre,Y,None,None,None,Pipe,None,34.79854908018294,8435
8436,None,Pretty Cat,Sofia,Candy Cross,Pink Puff,0xF8C3A2,Midnight Moss,X,None,Red Pointed,Rainbow Unicorn,None,None,51.54669240446231,8436
8437,Big Gold Pearl,Spiked Crown,Min,Summoner,None,0xF8C3A2,Moon Mist,X,None,Cybertech,None,None,None,30.60841944670059,8437
8438,Mushroom,Yummy,Sofia,Silver Beads,Rainbow Exo,0xF9C9BD,Auburn,X,None,None,None,None,None,27.292459362356507,8438
8439,None,None,Betty,Darkness Falls,Skater Girl,0xF9C9BD,Mariner,X,Blue Silk Shirt,None,None,None,None,19.827381910892214,8439
8440,Hearts,None,Yun,Belt Choker,Plaid Pocket,0xF8C3A2,Deluge,X,Black Leather Studs,Cybertech,None,None,None,31.325039569902273,8440
8441,Double Gauge,Red Bandana,Navarro,Silver Bar,Flow,0xF9C9BD,Cardinal,Y,None,Ocular,None,None,None,41.0333859902167,8441
8442,None,None,Kwan,None,Butterfly Lady,0xAA7560,Seafoam Blue,X,None,None,None,None,None,4.614768413996953,8442
8443,None,Electro Cat,Hae,None,Traditional,0xAA7560,Deluge,X,None,Occular,None,None,None,21.50202483617199,8443
8444,Mushroom,Red Beret,Eui,Summoner,Dom,0xAA7560,Hibiscus,X,Urban Leather,Green Razor,None,None,None,46.98263547320984,8444
8445,Big Gold Dangler,None,Daisy,Teal Cross,None,0xF9C9BD,Azure,X,Future Leather,Future,None,None,None,28.69474610680747,8445
8446,Checker Chain,None,Odin,Silver Bar,Bowler Shirt,0xF8C3A2,Blue Lagoon,Y,Lumberjack,Aviator,None,None,None,39.93717369184413,8446
8447,Art Block,Punk Bike Hat,Meg,Knotted Pearls,Red Cheetah,0xAA7560,Pale Olive,X,Iridescent Blazer,Blue Bad Zippy,None,None,None,46.97345975599328,8447
8448,Red Tradition,None,Bobbie,Jade Tribal,Butterfly Lady,0xAA7560,Pale Lime,X,None,Future,None,None,None,25.877899601820896,8448
8449,Flower Cross,Gold Domes,Hyo,Teal Cross,Pink Puff,0xF9C9BD,Vanilla Sky,X,None,Flowers,None,None,None,32.91090855352691,8449
8450,Checker Chain,None,Tyler,None,Pinl Loose Neck Stripes,0xF8C3A2,Cinereous,Y,Leather Daddy,None,None,None,None,24.61565016359937,8450
8451,None,Pink Topper,Byeol,Candy Girl,Blue Toga,0xAA7560,Cadillac Pink,X,Green Leather Studs,Pink Portal,None,None,None,41.65524778832433,8451
8452,Button Flower,None,Blythe,Lunar Choker,Lace Shoulders,0xF8C3A2,Deep Cove,X,Future Leather,Cybertech,None,None,None,31.38931162663218,8452
8453,Gold Infinity,Pink Topper,Yun,Candy Girl,Purple Leopard Heart,0xF8C3A2,Neptune,X,Red Off The Shoulder,Green Cybex,None,None,None,43.06370601186865,8453
8454,Happy Face,None,Blythe,None,Red Carnival,0xF9C9BD,Moon Mist,X,Red Off The Shoulder,Blue Gas,None,None,None,21.26651799921608,8454
8455,Black Safety Pin,None,Nur,None,Blue Loose Neck,0x000000,Pine Green,Y,Strapped,Plugged In,None,None,None,36.982749314484295,8455
8456,None,Two Dice,Jayme,None,Pinky,0xAA7560,Cobalt,X,Iridescent Suit,HUD,Rainbow Unicorn,None,None,55.915393338553656,8456
8457,Gold Hoop,Four Dice,Kija,Skulls,Red Lace Bra,0xF8C3A2,Lavender,X,Doll,Green Cybex,None,None,None,43.05759931966328,8457
8458,Gold Hoop,Tie Dye Headband,Hana,None,None,0xAA7560,Rubber Ducky,X,Pastel Windbreaker,Blocked Corners,None,None,None,34.23616368037652,8458
8459,Happy Face,Beaded Purse,Tamara,Fuck,Washed Denim,0xABA4B3,Deep Cove,X,Doll,Butterfly,None,None,None,51.195494911013974,8459
8460,Ropes and Pearls,Four Dice,Sook,Tiled Choker,Pink Raven,0x000000,Lavender,X,None,None,None,None,None,34.157160899643415,8460
8461,Black Pearl,Beaded Purse,Yun,Darkness Falls,Red Strike,0xF29876,Stratos,X,Red Off The Shoulder,Data,None,None,None,47.790949027783476,8461
8462,Cuffs,None,Rosie,None,None,0xF29876,Stone,X,Pastel Windbreaker,Pink Flames,None,None,None,24.144457578937907,8462
8463,Pin Flower,Cat Ears,Iseul,None,Torn Pink Striped,0xF9C9BD,Deep Cove,X,None,Blue Bling,None,None,None,22.840281801079666,8463
8464,None,None,Mel,Regal,Plaid Ruffle,0xF29876,Persian Rose,X,None,Pink Gimp,None,None,None,21.110358489486185,8464
8465,Little Gold Dangler,Pink Bandana,Moon,None,Neon Black Toga,0xF8C3A2,Blue Lagoon,X,None,Red Bling,None,None,None,23.25057249328857,8465
8466,Hearts,Beaded Purse,Min,Cat Collar,Black Straps,0x000000,Vanilla Sky,X,Urban Leather,Eyepatch,None,None,None,49.28194253909578,8466
8467,Red Tradition,Safety Pins,Demi,Lunar Choker,Rainbow Exo,0xF8C3A2,Pale Lime,X,Black Leather Studs,Blocked Corners,Rainbow Beads,None,None,66.70725736672787,8467
8468,Light Cross,Steampunk,Lorenzo,None,Corset,0xF29876,Turkish Rose,Y,Vegas,Reflector,None,None,None,47.368212727766554,8468
8469,Neon Chain,None,Youra,Lunar Choker,Black Dragon,0xF29876,Pine Green,X,None,Red Bad Zippy,None,None,None,26.658785256491868,8469
8470,Rainbow,Monarch,Tamara,Chain Choker,Blue Origami,0xAA7560,Moon Mist,X,Black Leather Studs,None,None,None,None,41.73497591789874,8470
8471,100 Cuts,Yellow Bandana,Nur,None,Snake,0xF9C9BD,Viridian,Y,Racer,None,None,None,None,35.93553147503515,8471
8472,Black Chain,Yellow Bandana,Niko,Lock And Key,Green Thick Collar,0xF8C3A2,Lavender,Y,Strapped,Blue Readers,None,None,None,52.19932743236848,8472
8473,Right Red Stud,Red Bandana,Ari,Silver Bar,Purple Turtle,0xF9C9BD,Pink Sherbet,Y,None,Machine Mask,None,None,None,41.19873497833931,8473
8474,Pin Flower,Pink Bandana,Ara,Cat Collar,Pink Raven,0xF8C3A2,Blue Koi,X,Iridescent Blazer,Red Bad Zippy,None,None,None,42.82491648324591,8474
8475,Tribal,Purple Aviator,Hyo,Regal,None,0xF8C3A2,Pale Lime,X,None,Eyepatch,None,None,None,30.770681833944913,8475
8476,Big Cuffs,None,Soren,None,Chest Strap,0xAA7560,Cinereous,Y,Taxi,Rimless,None,None,None,33.97605882457984,8476
8477,Checker,None,Easton,Tie Me Up,70s,0xF8C3A2,Cadillac Pink,Y,None,Pink Bad Zippy,None,None,None,30.49770919610787,8477
8478,Safety Pin,Red Bandana,Dimitri,None,Punk,0xF29876,Maroon Oak,Y,Daddy,None,None,None,None,41.039439621904236,8478
8479,None,None,Easton,Fleur-De-Lis,All Over Ropes,0x000000,Maroon Oak,Y,None,Blue Readers,None,None,None,30.592522302450543,8479
8480,Dark Cross,None,Mateo,Silver Bar,Green Clouds,0xF8C3A2,Mariner,Y,None,None,Black Flower,None,None,48.747778705758236,8480
8481,None,Blue Beret,Bodhi,None,White Paint,0xAA7560,Lavender,Y,Purple Denim,Banger,None,None,None,40.35078425495976,8481
8482,Little Gold Dangler,None,Summer,None,None,0xF9C9BD,Turquoise,X,Pastel Windbreaker,None,None,None,None,13.329455701998711,8482
8483,Big Gold Chain,Safety Pins,Denver,Chain Link Cross,Tight Leather,0xF8C3A2,Persian Rose,X,Green Formal,Rimless,None,None,None,42.83409978142598,8483
8484,None,Red Bandana,Bjorn,Silver Bar,Gold Plate,0xF9C9BD,Viridian,Y,Button Down,None,Black Flower,None,None,64.10764903546193,8484
8485,None,None,Ara,None,Mech,0x000000,Stratos,X,None,Fish Bowl,None,None,None,12.478328472187963,8485
8486,Black Pearl,None,Rae,None,Red Cheetah,0xF8C3A2,Vanilla Sky,X,None,Pink Gimp,None,None,None,11.973309826620635,8486
8487,Death,Electro Cat,Bobbie,Gold Wire,Dom,0xF9C9BD,Pink Sherbet,X,None,Blocked Corners,None,None,None,32.332209156481,8487
8488,None,Pink Big Z Bucker Hat,Easton,None,Roulette,0xF9C9BD,Stratos,Y,Red Denim,Silver Frames,None,None,None,35.715281179371466,8488
8489,Purple Star,Let Them Eat Cake,Yun,Ornate Crystals,Teal Puff,0xF8C3A2,Deep Cove,X,None,Carnival,None,None,None,33.17117298654427,8489
8490,Black Safety Pin,None,Evan,Thick Iridescent Chain,Laugh Now,0xF9C9BD,Midnight Moss,Y,Armor,None,None,None,None,34.3921564155653,8490
8491,Mushroom,None,Ara,None,Zipcy Runner,0xF8C3A2,Lavender,X,None,Future,None,None,None,11.783433102566645,8491
8492,None,None,Nur,Disposable Razor,Black Tank,0xF8C3A2,Mariner,Y,Racer,None,None,None,None,28.703136869918826,8492
8493,Nuevo,None,Betty,Belt Choker,Bones,0xAA7560,Sunset Sky,X,Doll,Butterfly,None,None,None,35.639095843265636,8493
8494,Checker Chain,None,Dion,None,Torn,0xF29876,Maroon Oak,Y,None,None,None,None,None,19.489929054440683,8494
8495,Light Cross,Red Bandana,Duri,None,Black Netting,0xF29876,Vanilla Sky,Y,Future Formal,Pharaoh,None,None,None,47.11408186548218,8495
8496,Double Emerald,None,Nari,Chain Choker,None,0xF8C3A2,Vanilla Sky,X,None,Future,None,None,None,18.933367573271898,8496
8497,Web,Sun Hat,Hana,None,None,0xF8C3A2,Neptune,X,Neon Windbreaker,Occular,Rainbow Beads,None,None,55.110056458418136,8497
8498,Checker Chain,Crown Of Thorns,Dimitri,None,Medusa,0xF8C3A2,Cobalt,Y,Future Formal,Phantom,None,None,None,41.667307507600945,8498
8499,None,None,Domino,Gold Chain Link,Black Basic Lace,0xF8C3A2,Spicy Mustard,X,None,Blue Bling,None,None,None,15.711992791042231,8499
8500,Red Tradition,None,Colette,None,Blue Origami,0xF8C3A2,Neptune,X,Iridescent Suit,None,None,None,None,16.223444166877233,8500
