,Earrings,Hat,Hair,Neck,Top,Hex,Background,???,Cover,Face Accessory,Brooch,Mouth Piece,Extraordinary,Rarity score,Token Id
39,100 Loops,Safety Pins,Frankie,Scarf,Blue Ropes,0xF9C9BD,Pink Sherbet,X,None,None,None,None,None,27.378182205498135,39
40,None,None,Khai,None,Blue Origami,0xF9C9BD,Tyrian Purple,X,Future Leather,Fish Bowl,None,None,None,15.322949218163057,40
41,None,None,Janos,Candy Kid,Blue Turtle,0xF9C9BD,Viridian,Y,None,Banger,None,None,None,24.067647566671905,41
42,Gold Hoop,Leopard Bow,Jae,Teal Cross,Black Basic Lace,0xF9C9BD,Viridian,X,None,None,None,None,None,27.522105220548365,42
43,Basic Chain,Pink Big Z Bucker Hat,Koa,None,Corset,0xF8C3A2,Rubber Ducky,Y,Poker,None,Black Flower,None,None,60.577905723576585,43
44,Little Cuffs,Crown Of Thorns,Duri,Candy Kid,Neon Pink,0x000000,Spicy Mustard,Y,Chakra,None,None,None,None,52.51140487176951,44
45,Little Cuffs,None,Boris,Cuffs And Links,Black Loose Neck,0xAA7560,Midnight Moss,Y,None,Blue Fire,None,Cigarette,None,60.21040325990812,45
46,Art Deco,None,Sook,Thick Silver Chain,None,0xF8C3A2,Vanilla Sky,X,None,Machina,Rainbow Beads,None,None,43.66017766960904,46
47,Double Emerald,Safety Pins,Sofia,Universe Hearts,Butterfly Lady,0xF9C9BD,Azure,X,None,Pink Gimp,None,None,None,33.11300417352624,47
48,Art Block,Purple Aviator,Kwan,Skulls,Lace & Corset,0xF9C9BD,Spicy Mustard,X,Red Off The Shoulder,Rimless Shades,None,None,None,42.85552506531498,48
49,Black Chain,None,Soren,Bottle Opener,Roulette,0xF9C9BD,Stratos,Y,Lumberjack,Data,None,None,None,39.8392846716088,49
50,None,None,Whistler,Thick Iridescent Chain,Grey Shirt,0xF29876,Cadillac Pink,Y,None,None,None,None,None,23.513134391922243,50
51,Lunar,None,Jun,Thick Iridescent Chain,Dark Clouds,0xAA7560,Stone,Y,Vegas,Hunter S,None,None,None,44.75027877721613,51
52,Big Gold Pearl,Red Beret,Skye,None,None,0xF9C9BD,Moon Mist,X,Neon Windbreaker,Carnival,None,None,None,30.402873669055413,52
53,None,None,Hunter,Chain Choker,Zipcy Runner,0xF9C9BD,Red Wine,X,None,Fish Bowl,None,None,None,15.574174052056462,53
54,Blue Tassle,Sun Hat,Eui,Tiled Choker,Blue Toga,0xF9C9BD,Pine Green,X,Urban Leather,Skeletal Skull,None,None,None,42.77591925143161,54
55,Gold Hoop,None,Summer,Belt Choker,Blue Ropes,0x000000,Persian Indigo,X,Doll,Flowers,None,None,None,37.62315033073562,55
56,Art Deco,Electro Cat,Gi,None,Teal Puff,0xF8C3A2,Blue Lagoon,X,None,Rimless Shades,Rainbow Cactus,None,None,47.61862373963348,56
57,Hearts,Red Rose,Lia,Lunar Choker,Red Cheetah,0xF9C9BD,Spicy Mustard,X,Iridescent Suit,Red Blockers,Rainbow Unicorn,Cigarette,None,93.042279249126,57
58,None,Maleficent,Colette,None,Fire Corset,0xF9C9BD,Sunglow,X,Pink Leather Studs,Red Pointed,None,None,None,26.863552252997852,58
59,Web,Green Beret,Ara,None,Green Vegas,0xF9C9BD,Stratos,X,Taxi,Occular,None,Black Chain,None,58.78713876687933,59
60,Neon Chain,Green Beret,Jett,None,Rainbow Exo,0xF8C3A2,Cinereous,X,None,Data,None,None,None,23.253669432185966,60
61,Gradient Heart,None,Rae,Summoner,Black Shhh,0xF8C3A2,Moon Mist,X,None,Tassles,Rainbow Cactus,None,None,45.96255651557564,61
