,Misc,Hands,Hair Color,Hair,Eyebrows,Mouth,Lashes,Eye Color,Eyes,Top,Body,Background,Hat,Pet,Hair Clip,Sunglasses,Eyewear,Costume,Piercing,Whole Head Hat,Unique,Artist,Rarity score,Token Id
15079,None,None,None,Bald Udi,Angry Furrowed,Candy Blue,False,Purple,Half Lid,Blanket Wrap Blue,Mochi,Goopy Blue White,None,None,None,None,None,None,None,None,None,None,19.223552891061043,15079
15080,None,None,Brown,Side Bun,Big Round,Big Meh,False,Grey,Plush,Thick String Hoodie X Sleeves Yellow,Tiramisu,Solid,None,None,None,None,None,None,None,None,None,None,29.977156415821053,15080
15081,Whiskers,Scritch,None,Bald Udi,Chill,Unimpressed,True,Black,Half Lid,Nurse Cloak,Latte,Relaxing Day,None,None,None,None,None,None,None,None,None,None,33.0248085588201,15081
15082,None,Ethereum Rock,Pink,Side Ponytail,Surprised,Raspberry,True,Pink,Half Lid,Sailor Pink Bloody,Mochi,Gradient Pink,None,None,None,None,None,None,None,None,None,None,49.7469774293797,15082
15083,Blush,None,White,Mohawk,Angry Thin,Meh,True,Black,Long Pupils,Sweater X Sleeve Grey,Black Sesame,Pawprint Stripes Grey,None,None,None,None,None,None,None,None,None,None,31.42166546602651,15083
15084,None,None,Blue,Bedhead,Relaxed,Tongue Down,False,Black,Looking Away,Headphones Blue White,Blue Raspberry,Pawprint White Light Blue,None,None,Tubby Bow Blue,None,None,None,None,None,None,None,42.389787558180494,15084
15085,None,Milk,Black,Glam Rock,Neutral,Raspberry,True,Black,Detailed,Gakuran Rival,Ube,Solid,Wizard Hat Galaxy,None,None,None,None,None,None,None,None,None,48.608330931132734,15085
15086,None,None,None,Bald Udi,Angry Cute,Fanged Smile,True,Black,Relaxed,Blanket Wrap Purple,Cotton Candy,Magic Moon Purple,Pajama Hat Galaxy,None,None,None,None,None,None,None,None,None,29.67394561694543,15086
15087,None,None,Bubblegum Pink,Twintails,Neutral,Tongue,False,Black,Delighted,Tubby Maid Dress Pink,Matcha,Solid,None,None,None,None,None,None,None,None,None,None,19.098836580934783,15087
15088,Blush,None,None,Bald Udi,Angry Furrowed,Tongue,False,Black,Smug,Devil Wings Teal,Raspberry,Solid,None,None,None,Hearts Transparent Teal,None,None,None,None,None,None,28.645332406079625,15088
