,Mouth,Clothes,Eyes,Fur,Background,Hat,Earring,Name,Rarity score,Token Id
11200,M1 Bored,None,M1 Scumbag,M1 Black,M1 Orange,M1 Halo,None,None,20.592750048170853,12462
11201,M1 Bored,M1 Prom Dress,M1 Sleepy,M1 Dmt,M1 Gray,M1 S&m Hat,None,None,34.948005129457435,12464
11202,M2 Bored,M2 Prom Dress,M2 Sleepy,M2 Dmt,M2 Gray,M2 S&m Hat,None,None,50.76632687492704,12465
11203,M1 Bored Bubblegum,M1 Leather Jacket,M1 Sleepy,M1 Blue,M1 Army Green,M1 Fisherman's Hat,None,None,42.99249298209305,12468
11204,M2 Bored Bubblegum,M2 Leather Jacket,M2 Sleepy,M2 Blue,M2 Army Green,M2 Fisherman's Hat,None,None,53.40550856032834,12469
11205,M1 Bored,M1 Leather Jacket,M1 Heart,M1 White,M1 Army Green,M1 Baby's Bonnet,M1 Silver Stud,None,77.31726083495025,12470
11206,M1 Discomfort,M1 Guayabera,M1 Wide Eyed,M1 Black,M1 Purple,None,None,None,27.007073833211898,12472
11207,M1 Bored Unshaven,None,M1 X Eyes,M1 Black,M1 Yellow,M1 Short Mohawk,None,None,23.749783114326597,12474
11208,M1 Discomfort,M1 Work Vest,M1 X Eyes,M1 White,M1 Army Green,M1 Commie Hat,M1 Gold Stud,None,89.23326399121333,12476
11209,M2 Discomfort,M2 Work Vest,M2 X Eyes,M2 White,M2 Army Green,M2 Commie Hat,M2 Gold Stud,None,99.20159159365494,12477
11210,M1 Bored,M1 Bone Tee,M1 Sunglasses,M1 Black,M1 New Punk Blue,M1 Beanie,None,None,29.54931889267677,12478
11211,M1 Bored Pipe,M1 Lumberjack Shirt,M1 Sunglasses,M1 Black,M1 Yellow,M1 Bayc Hat Black,M1 Gold Stud,None,84.94392006006287,12480
11212,M1 Bored Unshaven Cigarette,M1 Tuxedo Tee,M1 Bored,M1 Brown,M1 New Punk Blue,M1 Ww2 Pilot Helm,None,None,33.56155267510933,12482
11213,M1 Bored Unshaven,M1 Navy Striped Tee,M1 Eyepatch,M1 Trippy,M1 Aquamarine,None,M1 Silver Hoop,None,68.14388995990137,12484
11214,M2 Bored Unshaven,M2 Navy Striped Tee,M2 Eyepatch,M2 Trippy,M2 Aquamarine,None,M2 Silver Hoop,None,82.75251025003362,12485
