,Number,Drip Grade,Core,Drip Score,Neck,Hair,Shirt,Eye Color,Eyes,Race,Background,Hat,Face Decoration,Glasses,Necklace,Earring,Rarity score,Token Id
105,105,normal,lolita-hypebeast,22,None,braid black,red puffer,aqua,dilated,pale,roadside,blue pink bow,None,None,None,cross earring,31.000149961722055,105
106,106,ss-drip,gyaru,53,None,bowl purple,cactus shirt,brown,sleepy,pink,clouds,cross cap pink,None,prescription glasses,None,heart pearls earring,48.99795450363084,106
107,107,ss-drip,gyaru,45,lean neck tattoo,og frosted purple,active dissident shirt,brown,crying,clay,clouds,workin cap,None,None,None,dual rings silver,52.144404392393525,107
108,108,a-drip,lolita-gyaru,39,None,bowl harajuku dye,mwo shirt,blue,teary,clay,sunrise,sailor hat,face piercings,None,None,None,31.096681815818673,108
109,109,normal,hypebeast-gyaru,24,None,og black,gold spray puffer,brown,sparkle,clay,sonora,cross cap white,None,None,None,None,12.20215196668753,109
110,110,b-drip,lolita,34,None,bowl brown,goth poncho,green,classic,pink,sunrise,bear hat,None,None,None,None,12.371932971276626,110
111,111,b-drip,hypebeast,30,None,og orange,maf creeper,aqua,sleepy,pink,yashima,None,nose ring gold,mottega sunglasses blue,None,None,43.82520660570167,111
112,112,a-drip,hypebeast-gyaru,37,None,short orange,skull sweater,gold,dilated,pink,sunset,cross cap pink,None,None,None,double safety pins,33.66008179392462,112
113,113,s-drip,lolita-harajuku,43,None,og black,ribbon lolita,green,spiral,pink,sunset,cake hat,black hearts tattoo,mottega sunglasses blue,None,None,51.71374719771127,113
114,114,a-drip,prep-gyaru,36,None,bowl black,cactus shirt,aqua,heart eyes,tan,mountain,orange beret,teardrops tattoo,None,None,None,41.053330116740156,114
115,115,a-drip,gyaru,39,None,og frosted blonde,im cute im punk shirt,brown,teary,pink,sunset,trucker anime,None,mottega sunglasses blue,None,chain earrings,44.68048760626962,115
116,116,c-drip,prep,29,castle neck tattoo,tuft blue,ulzzang coat,blue,crying,pink,sunset,None,star heart tattoo,None,None,None,39.990368801004585,116
117,117,b-drip,prep-harajuku,33,None,short blue,cardigan tee,aqua,sleepy,clay,sunrise,varsity cap,None,None,lean neck tattoo,cherry earring,50.647382917291,117
118,118,a-drip,hypebeast-harajuku,37,None,short green,bowling shirt,green,sparkle,clay,roadside,fez,star heart tattoo,None,pearl necklace,None,48.374800389508714,118
119,119,ss-drip,harajuku,45,None,None,bosozuku jacket,blue,sleepy,pale,sunrise,strawberry hat,star heart tattoo,None,coral cross necklace,None,50.839782608915186,119
120,120,normal,prep,24,lean neck tattoo,braid black,bear sweater,green,dilated,clay,sunrise,None,None,None,None,chain earrings,33.23029705109159,120
121,121,ss-drip,hypebeast,49,anime chest tattoo,bowl harajuku dye,bowling shirt oriental,blue,sparkle,black,yashima,None,None,None,None,None,33.94424979067283,121
122,122,b-drip,gyaru,30,anime chest tattoo,bowl black,leopard polo,green,classic,clay,nagano,None,None,None,pearl necklace,None,40.16191876869442,122
123,123,c-drip,harajuku-gyaru,29,None,bowl slate,hikki condition shirt,blue,sleepy,pink,mountain,heihei hat,None,None,None,None,14.82677182052517,123
124,124,a-drip,hypebeast,39,None,braid brown,maf rothko,green,teary,clay,xp,None,None,mottega sunglasses yellow,None,flower earring,39.00608155478141,124
125,125,normal,hypebeast-harajuku,25,None,og orange,western jacket,brown,classic,pink,sunrise,cat earmuffs,None,None,None,None,12.225201125307137,125
126,126,a-drip,gyaru,35,None,short blue,super lover shirt,blue,classic,black,bjork,trucker im so,None,None,None,None,19.841345108656135,126
127,127,normal,lolita-gyaru,21,None,tuft blue,peter pan collar shirt,blue,dilated,pale,mountain,shy saints cap,None,None,None,safety pin piercing,23.5856260638721,127
128,128,s-drip,gyaru,42,None,braid brown,remilia tank,brown,sleepy,tan,bjork,None,None,sunglasses,coral cross necklace,dual rings gold,62.08710621032816,128
129,129,ss-drip,hypebeast-harajuku,46,None,bowl black,fleece paisley jacket,blue,spiral,clay,streets,cake hat,None,None,mestwood pearl necklace,None,40.58917319410672,129
130,130,s-drip,prep-harajuku,41,None,og frosted blonde,goth harajuku,green,sparkle,tan,roadside,bean hat,None,None,None,strawberry earring,35.38933011742448,130
131,131,normal,hypebeast,25,None,tuft dark,gold spray puffer,brown,spiral,pale,clouds,None,None,None,None,None,7.053527536487874,131
132,132,s-drip,hypebeast-gyaru,43,None,braid black,bowling shirt,green,crying,pink,sunrise,workin cap,None,mottega sunglasses yellow,None,dual rings gold,48.74494860790769,132
133,133,b-drip,prep,33,None,short orange,pink knit polo,gold,classic,pale,sonora,None,snakebites,sunglasses,None,None,41.41665135610721,133
134,134,c-drip,prep-harajuku,28,None,bowl blue,knit sweater,gold,teary,clay,sunrise,bandana,snakebites,None,pearl necklace,None,52.65844656015067,134
135,135,b-drip,lolita,32,None,tuft dark,fur coat,gold,teary,tan,clouds,None,gucci cone tattoo,None,None,None,32.342716951468084,135
136,136,b-drip,lolita-hypebeast,32,None,bowl purple,meedles tracksuit,brown,sparkle,pink,roadside,bear hat,None,None,None,None,15.841016385606741,136
137,137,b-drip,prep-gyaru,30,None,og green,blue sweatervest,brown,dilated,pink,sonora,cross cap pink,nose ring silver,None,None,None,29.793913949670014,137
138,138,s-drip,hypebeast,44,None,braid green,bowling shirt,blue,closed,pink,mountain,None,temple cross tattoo,None,evil eye necklace,safety pin piercing,56.592964050257336,138
139,139,ss-drip,hypebeast,56,None,tuft green,bowling shirt,green,sleepy,alien,yashima,miteryx beanie,teardrops tattoo,None,pearl necklace,None,57.245621003390234,139
140,140,c-drip,hypebeast-gyaru,29,None,og blue,western jacket,green,teary,tan,bushland,trucker anime,None,None,None,None,17.078779202648995,140
141,141,normal,gyaru,18,None,og black,blue ribbon tank,brown,sparkle,pale,sunrise,None,None,None,None,chrome cross,15.214956881701378,141
142,142,c-drip,gyaru,29,None,bowl brown,hikki condition shirt,blue,sparkle,clay,yashima,trucker pink camo,None,None,None,None,12.923914863154472,142
143,143,c-drip,lolita,28,None,braid purple,ribbon lolita,blue,sparkle,clay,casino,None,milady pilled tattoo,None,None,None,21.339918265337886,143
144,144,ss-drip,prep-harajuku,45,None,tuft purple,cardigan tee,blue,dilated,black,nagano,ivy cap,None,None,evil eye necklace,None,42.006719388750476,144
145,145,c-drip,prep-gyaru,27,None,tuft dark,bear sweater,brown,dilated,pink,sunset,flower clip,None,None,None,strawberry earring,27.048444799046013,145
146,146,a-drip,hypebeast-gyaru,35,spider neck tattoo,og black,matagonia pullover,green,sparkle,clay,mountain,trucker anime,None,None,fliphone lanyard,safety pin piercing,61.95944241450951,146
147,147,normal,gyaru,21,None,bowl green,jesus tank,green,classic,tan,sunset,None,None,None,None,double safety pins,17.95653546761554,147
148,148,normal,hypebeast,22,castle neck tattoo,short blonde,red puffer,green,dilated,clay,sonora,None,None,None,None,chain earrings,34.49742349527593,148
149,149,a-drip,prep,39,None,braid green,blue sweatervest,brown,closed,tan,bushland,earflap cap,None,None,silver coin necklace,None,37.92324815285744,149
150,150,c-drip,prep,28,None,tuft purple,green blazer,lilac,sleepy,clay,mountain,None,None,larry glasses,None,None,26.153312375054437,150
151,151,s-drip,hypebeast-gyaru,42,None,short orange,matagonia pullover,blue,dilated,pink,mountain,trucker oasis,None,mottega sunglasses blue,coral cross necklace,None,48.77402968375012,151
152,152,normal,hypebeast,22,None,og blue,western jacket,blue,classic,clay,sunset,None,None,None,None,dual rings silver,14.802991416909583,152
153,153,c-drip,harajuku-gyaru,26,spider neck tattoo,og frosted purple,im cute im punk shirt,blue,sparkle,clay,sunrise,bear ears,teardrops tattoo,None,None,None,45.777780424028904,153
154,154,c-drip,lolita-prep,28,None,tuft green,kogal cardigan,lilac,classic,pale,clouds,goth headband,None,round glasses,None,strawberry earring,48.08412387809131,154
155,155,c-drip,prep,29,None,bowl green,green blazer,leaf,sparkle,pink,bushland,ivy cap,None,None,None,cross earring,31.46449427855826,155
156,156,s-drip,gyaru,44,None,bowl harajuku dye,cactus shirt,brown,sparkle,tan,casino,None,None,harajuku glasses,None,None,29.22520654856845,156
