,head,background,body,hair,face,piercing,Rarity score,Token Id
289,pink,gradient 3,pink and white jacket,green brushcut,default,None,2.5063744546505657,289
290,blue,sky,green hoodie,beige bucket cap,in love,None,8.056054870883036,290
291,cat,pink,cat,cat,in love,None,20.117564503212737,291
292,gradient 2,pink,purple sweater with satchel,pink tidy,sunglasses,hoop,78.69788210820772,292
293,pale,gradient 2,combo 2 puffer,blue alfalfa,3d glasses,None,8.626668583684594,293
294,pink,grey,pink fleece,pink long,content,None,2.2713609757513624,294
295,blue,gradient 3,navy sweater,green puffballs,surprised,None,1.7231308263038476,295
296,purple,blue,blue turtleneck,brown mullet,cobain glasses,None,5.739880883463679,296
297,purple,fire,navy sweater,green mullet,designer glasses,None,6.959492758181447,297
298,yellow,gradient 4,green hoodie,blue messy,bandana,None,6.590291997244393,298
299,orange,green,pink and white jacket,blue nerd,happy,None,1.0181105253224998,299
300,tan,pink,white turtleneck,green mullet,neutral note,None,7.507703880061459,300
301,yellow,gradient 2,navy sweater,purple puffballs,sunglasses,None,2.7412614918139564,301
302,med,pink,purple sweater with satchel,green mullet,surprised,hoop,73.22687370854952,302
303,yellow,light blue,pink and green jacket,brown mullet,grumpy,None,2.7413073723025168,303
304,purple,grey,yellow turtleneck,blue alfalfa,3d glasses,None,7.1720588934435465,304
305,orange,gradient 2,green hoodie,blue messy,grumpy,None,3.2671494743804654,305
306,green,gradient 1,orange collar,pink toque,chill cig,None,4.867186905776517,306
307,purple,blue,yellow backpack,blue messy,aviators with mustache,None,8.704935543444765,307
308,gradient 1,grey,green hoodie,pink toque,default,None,8.31333666839785,308
309,green,green,white puffer,yellow toque,happy note,None,8.313323239701647,309
310,orange,gradient 1,white collar,yellow headband,content,hoop,74.1330742282961,310
311,yellow,purple,purple chain,cowboy,happy note,hoop,82.68093428643348,311
312,pale,gradient 2,pink hoodie,green puffballs,content,None,3.5357019424116802,312
313,med,holographic,pink and green jacket,helmet,sad note,pearl,84.76190793166137,313
314,pink,yellow,combo 2 puffer,purple cap,grumpy,None,2.4616375346219734,314
315,pale,fire,yellow puffer,blue puffballs,designer glasses,None,7.127381269434084,315
316,med,pink,navy sweater,bed head,rainbow puke,None,11.972105162235778,316
317,yellow,yellow,orange collar,beige bucket cap,blue beard,None,9.286797546678825,317
318,tan,gradient 2,blue blazer,blue brushcut,content,pearl,75.01700306871318,318
319,pale,gradient 2,yellow backpack,pink long,sad note,None,8.861645139444734,319
320,tan,orange,pink and green jacket,green mullet,happy,None,0.8838941524545648,320
321,gradient 2,gradient 2,pink fleece,purple cap,default,pearl,78.08255049276033,321
322,gradient 2,orange,pink and green jacket,blue messy,aviators with mustache,None,13.695206893238195,322
323,yellow,gradient 4,purple chain,brown mullet,3d glasses,None,10.349771442460016,323
324,yellow,space,white sweater,brown mullet,chill cig,None,8.760910691140095,324
325,purple,gradient 1,blue fleece,yellow toque,surprised,None,4.430841033030757,325
326,med,gradient 2,blue fleece,blue puffballs,designer glasses,hoop,74.20022940560304,326
327,pink,purple,blue and yellow jacket,green brushcut,in love,hoop,74.06602198909098,327
328,gradient 1,grey,white collar,pink long,sunglasses,None,7.776294395030211,328
329,pale,grey,combo 1 puffer,green mullet,sunglasses,pearl,72.02972148882519,329
330,yellow,gradient 3,combo 3 puffer,holographic crown,sunglasses,hoop,76.63925063135129,330
331,yellow,grey,orange puffer,blue nerd,designer glasses,pearl,72.67865251421583,331
332,yellow,grey,blue backpack,pink,straw,pearl,76.03514716416153,332
333,orange,grey,spotted hoodie,blue messy,grumpy,None,5.202799441347296,333
334,gradient 2,purple,yellow puffer,pink,bandana,None,11.166485794149713,334
335,gradient 1,gradient 3,grey hoodie,yellow backwards cap,grumpy,None,9.67842663312499,335
336,yellow,pink,yellow puffer,blue brushcut,sunglasses,None,1.767842018700304,336
337,tan,gradient 3,yellow turtleneck,blue afro,designer glasses,None,2.4615625583351664,337
338,gradient 1,yellow,orange collar,purple brushcut,neutral note,None,13.829461313788894,338
339,yellow,iridescent,pink hoodie,harley,chill cig,None,9.152535303010247,339
340,gradient 1,green,light blue puffer,cowboy,cobain glasses,hoop,82.77042939768059,340
341,orange,iridescent,pink and white jacket,green puffballs,rainbow puke,hoop,81.89775891518151,341
342,pale,yellow,pink puffer,green bowlcut,skeleton,None,8.24621953082459,342
343,pale,yellow,pink backpack,pink headband,designer glasses,None,2.9091500105188373,343
344,purple,grey,pink hoodie,holographic poopie,3d glasses,None,10.629420024103538,344
345,pale,orange,blue turtleneck,blue messy,mustache,hoop,75.86727655618112,345
346,orange,gradient 2,green blazer,blue brushcut,sunglasses,None,4.4084485120788095,346
