,Hats,Mouth,Eyes,Clothes,Body,Background,1 of 1,Rarity score,Token Id
222,Come In Peace,Brown Beard,Fren,Green Jacket,Xenos,Pink,None,10.49466604684426,222
223,Undies,Cig,Fren,Alien Coat,Lochias,Orange,None,23.60977198765861,223
224,Bonzai,Oh No,xxx Future,Scarf Orange Blue,Lochias,Baby Blue,None,23.282147371308334,224
225,Ninja Master,Oh No,xxx Flat,Rainbow,Lochias,Red Camo,None,24.381278372510145,225
226,Army Helmet,Black Beard,Night Owl,Ninja Knight,Femi,Orange,None,20.835672521660385,226
227,Bamboo Cap,Wow,Night Owl,White Fren Tee,Xenos,Baby Blue,None,14.204173782342778,227
228,Red Beanie,Gangzter,Fren,Cowboy,Xenos,Yellow,None,7.662266771787435,228
229,Undies,Goo,Happy,Ninja Knight,Xenos,Mint,None,5.987182567953752,229
230,Army Helmet,Baby Tooth,Peek a Boo,Pilot,Femi,Dark Mint,None,14.653178827696633,230
231,Party Ears,Gangzter,Oldies,Bones Tee,Femi,Pink,None,13.020388832429564,231
232,Yellow Cap,Oh No,Peek a Boo,Mint Sweater,Femi,Red,None,16.629502322008964,232
233,Sunflower,Wow,Fren,Rainbow,Femi,Tan,None,18.82770883087732,233
234,Cowboy Hat,Meh,Hive,Red GM Tee,Xenos,Blue,None,15.144773504309066,234
235,Blue Beanie,Friendly,Fren,Green Jacket,OLU,Pink,None,23.900418038848876,235
236,Pilot,Abduction,Night Owl,Tan Dice Hoodie,Xenos,Orange,None,16.57680460089589,236
237,Halo,Sad,xxx Flat,Rainbow,Femi,Pink,None,10.647744272846897,237
238,Bandage,Baby Tooth,Pacman,Prison,Lochias,Orange,None,22.558241329217594,238
239,Claw Machine,Black Beard,Peek a Boo,Sailor,OLU,Baby Blue,None,28.841025158938084,239
240,Undies,Meh,Peek a Boo,Fuzzy Coat,Lochias,Pink,None,15.937192609617018,240
241,Bonzai,Cig,Peaceful,Chain Brown Tee,Xenos,Yellow,None,13.760301527042454,241
242,Cyclone Ears,Meh,Pacman,Blue GM Hoodie,Xenos,Mint,None,9.379673197892762,242
243,Mustard Beanie,Gangzter,Peek a Boo,Office,Xenos,Baby Blue,None,8.835377097415247,243
244,Black Cap,Friendly,Luv,Old School,Lochias,Tan,None,25.258452898052898,244
245,Ski Mask,Friendly,Happy,Blue Tank,Xenos,Pink,None,8.967493987507437,245
246,Gumball,Aw man,Happy,Ninja Blue,Xenos,Blue,None,13.37455362004766,246
247,Black Beanie,Aw man,Luv,Cowboy,Lochias,Yellow,None,20.3494283687445,247
248,Black Beanie,Gangzter,Oldies,Red GM Tee,Femi,Pink,None,12.243616481157678,248
249,Ninja Blue,Goo,Happy,Cowboy,Femi,Yellow,None,13.268694163659509,249
250,Sailor,Goo,Adorable,White Fren Tee,Lochias,Mint,None,15.15515217695469,250
251,Baseball Helmet,Baby Tooth,Oldies,White GM Sweater,Xenos,Orange,None,12.243749659401445,251
252,Blue Beanie,Gangzter,Adorable,Leather Jacket,Xenos,Mint,None,4.470539797305104,252
253,Horns,Cig,Oldies,Waldo,Xenos,Pink,None,7.7045287444512445,253
254,Ninja Yellow,Cig,Luv,Rainbow,Femi,Yellow,None,18.843546896621802,254
255,Ninja Dark,Aw man,Fren,White Fren Tee,OLU,Baby Blue,None,29.559640923772758,255
256,Pilot,Sewn Shut,Peek a Boo,Dotted Tee,Xenos,Pink,None,8.407397345962533,256
257,Claw Machine,Wow,Dazed,Long Sleeve Chain,Xenos,Orange,None,10.880391757738815,257
258,Mustard Beanie,Baby Tooth,xxx Flat,Black GM Hoodie,Femi,Pink,None,8.808823711719501,258
259,Paper Bag,Sad,Pacman,Waldo,Xenos,Orange,None,11.91081415290172,259
260,Ski Mask,Meh,Night Owl,Pilot,Lochias,Mint,None,19.139391798626214,260
261,Sailor,Goo,Peaceful,Yellow Jacket,Lochias,Orange,None,23.224047334776994,261
