,Stamina,Special Set,Pet,Mask,Clothes,Eyes,Mouth,Antenna,Skin,Background,Class,Rarity score,Token Id
2309,1498.41,None,None,None,None,Party-Shades,Pipe,Pineapple-Fro,Hollow-Swirley,Electric,Rare,14.028164410515492,2309
2310,973.46,None,None,None,None,Pandas,Tiny-Tongue,Flower-White,Red,Mint-Fiddle,Common,6.928533692138002,2310
2311,1519.8,None,None,None,None,Goof,Intense,Light-Bulb,Hollow-Swirley,Mauve,Rare,14.25626396233866,2311
2312,1529.22,None,None,None,None,Party-Shades,Happy-Fangs,Beanie-Black,Hollow-Zombie,Grey,Rare,14.994747687730595,2312
2313,1545.03,None,None,None,None,None,None,Wizzo,Hollow-Bored-Fish-White,Pine,Rare,15.66694746550487,2313
2314,1520.02,None,None,None,None,Rainbow-Shades,Displeased,Mouse-Beanie,Hollow-Pineapple,Prussian,Rare,14.72308365851144,2314
2315,967.06,None,None,None,None,Banana-Shades,Drooling,Bandana-Green,Blue,Air-Force-Fiddle,Common,6.483402811633403,2315
2316,980.26,None,None,None,None,Disturbed,Monster,Lucky-Irish,Blue,Puce,Common,7.048067547515327,2316
2317,907.6,None,None,None,None,In-Love,Stressed,Professor-Blue,White,Flamingo,Common,2.866636385663464,2317
2318,872.98,None,None,None,None,Rainbow-Shades,Silence,Cap-Black,White,Teal,Common,1.2815467852896427,2318
2319,909.2,None,None,None,None,Wishful,Krooked-Smile,Pointed-Beanie-Pink,White,Grey-Clouds,Common,3.2143873037057284,2319
2320,1530.42,None,None,None,None,Zebra-Shades,Ogre,Flower-Blue,Hollow-Pineapple,Prussian,Rare,15.081381081922471,2320
2321,1530.22,None,None,None,None,Banana-Shades,Ogre,Cap-Black,Hollow-Leopard,Tiffany,Rare,14.918773821478595,2321
2322,932.02,None,None,None,None,Provocative,Silence,Flower-Purple,Rose,Carolina,Common,4.6266664538148135,2322
2323,940.83,None,None,None,None,Goof,Yellow-Gum,Chef,Blue,Blue-Clouds,Common,5.006839679931095,2323
2324,930.02,None,None,None,None,Disturbed,Flabber,Lucky-Irish,Silver,Puce,Common,4.311798641724965,2324
2325,912.8,None,None,None,None,Spaced-Out,Surprised,Party-Time,White,Coin,Common,3.409638475967356,2325
2326,1528.42,None,None,None,None,In-Love,Blue-Gum,Innocent-Tails,Gumball,Electric,Rare,14.91873047878699,2326
